"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"NPHS1",-0.155677124720528,7.15289138724383,-10.3334275057671,2.52402475836284e-24,1.64041809915185e-23,44.3941831631783,"GABAergic"
"AC092802.1",-0.16776645140789,7.15790371600149,-10.3325551285106,2.54573495706828e-24,1.65400903907639e-23,44.3860148247131,"GABAergic"
"DAB1-AS1",-0.168884277781588,7.15456164048225,-10.3321728875636,2.5553057389959e-24,1.65970673477021e-23,44.3819376359034,"GABAergic"
"C4orf45",-0.153186255648127,7.15075533080884,-10.3321201115344,2.55662997719069e-24,1.66004629208623e-23,44.3814975332534,"GABAergic"
"IRF7",-0.153183835395326,7.15075616755839,-10.3318816360012,2.56262221285044e-24,1.66289454557554e-23,44.3791980952168,"GABAergic"
"AC005410.2",-0.153183835395326,7.15075616755839,-10.3318816360012,2.56262221285044e-24,1.66289454557554e-23,44.3791980952168,"GABAergic"
"AL121827.2",-0.15318292907155,7.15075112016869,-10.3318315023496,2.56388370419394e-24,1.66319208158375e-23,44.3787134886392,"GABAergic"
"AC008415.1",-0.153339080379642,7.15145343292555,-10.3316050917146,2.56958845015015e-24,1.66637086937884e-23,44.3765616038721,"GABAergic"
"LINC00460",-0.153179164590137,7.15074554359676,-10.3315128752292,2.57191558408223e-24,1.66683627950861e-23,44.3756397402188,"GABAergic"
"LINC01580",-0.153179164590137,7.15074554359676,-10.3315128752292,2.57191558408223e-24,1.66683627950861e-23,44.3756397402188,"GABAergic"
"ENOX1-AS1",-0.153177250116217,7.15073279954675,-10.3314337345472,2.57391440895877e-24,1.66760992032415e-23,44.3748736508625,"GABAergic"
"HIST1H2BG",-0.154240373194878,7.15302005009677,-10.3313946847106,2.57490124262134e-24,1.66772762471594e-23,44.3746771754338,"GABAergic"
"TSPEAR-AS1",-0.153903977308813,7.15179675155595,-10.3313519836895,2.57598077523286e-24,1.66790527656762e-23,44.3741318403379,"GABAergic"
"AP001605.1",-0.153172729842026,7.15089760309778,-10.3311517755374,2.58104826275112e-24,1.67066414582387e-23,44.372192829363,"GABAergic"
"CFHR4",-0.153174565400204,7.15075527509283,-10.3309974197021,2.58496192437655e-24,1.67215229043134e-23,44.3706717524447,"GABAergic"
"AL359233.1",-0.153174565400204,7.15075527509283,-10.3309974197021,2.58496192437655e-24,1.67215229043134e-23,44.3706717524447,"GABAergic"
"FAM47A",-0.153323947475304,7.1514380610698,-10.3307697877201,2.59074422692092e-24,1.67536950272286e-23,44.3685068966308,"GABAergic"
"AC018690.1",-0.155732429718657,7.15605367473387,-10.3297189638559,2.61760391320775e-24,1.69221066960899e-23,44.3586463924506,"GABAergic"
"KRT81",-0.155055439768109,7.15180596090087,-10.3296300853339,2.61988832459362e-24,1.69315902862114e-23,44.3575139035354,"GABAergic"
"NPIPB6",-0.181723121425123,7.1623735299469,-10.3295559444351,2.62179545243719e-24,1.69386304448944e-23,44.3571177674832,"GABAergic"
"POC1A",-0.154164546905708,7.15185484185511,-10.3291304565583,2.6327669317276e-24,1.7004209995907e-23,44.3527162086339,"GABAergic"
"GOLGA8H",-0.160856452752108,7.15384673297378,-10.3290530204044,2.63476856335081e-24,1.70118333081937e-23,44.352008880763,"GABAergic"
"CRHR1",-0.171959855034833,7.16802684246879,-10.3288954205815,2.6388469909745e-24,1.70328568787955e-23,44.3512312927798,"GABAergic"
"SHROOM4",-0.158469038338549,7.15394401713303,-10.3286995887104,2.64392352394751e-24,1.70441036782392e-23,44.348618523268,"GABAergic"
"TTC24",-0.153150993866256,7.15076021051115,-10.3286935041368,2.64408140883236e-24,1.70441036782392e-23,44.3484602146577,"GABAergic"
"AC025171.4",-0.153150993866256,7.15076021051115,-10.3286935041368,2.64408140883236e-24,1.70441036782392e-23,44.3484602146577,"GABAergic"
"AC015921.1",-0.153150993866256,7.15076021051115,-10.3286935041368,2.64408140883236e-24,1.70441036782392e-23,44.3484602146577,"GABAergic"
"YAP1",-0.156591480243192,7.15283954204954,-10.3286695230039,2.64470377163428e-24,1.70441036782392e-23,44.348299495664,"GABAergic"
"AC005840.4",-0.161185785567212,7.15463537223167,-10.328561575732,2.64750703804712e-24,1.70568626062426e-23,44.3472828238346,"GABAergic"
"KLK6",-0.154082562035283,7.15329836748421,-10.327749162185,2.66869921371372e-24,1.71880493823545e-23,44.3395597870391,"GABAergic"
"MESTIT1",-0.153136196504999,7.1507420872692,-10.3274161687894,2.6774340152821e-24,1.72356286341733e-23,44.336142701437,"GABAergic"
"AL132780.1",-0.155559946015222,7.15367279069311,-10.3274041112324,2.67775083014385e-24,1.72356286341733e-23,44.3361332213169,"GABAergic"
"AC084816.1",-0.153537737670392,7.15168810165725,-10.3269695958661,2.68919265077596e-24,1.73012345143009e-23,44.331876503433,"GABAergic"
"HTR3A",-0.18855184641924,7.18067305540332,-10.3269536290455,2.68961401709308e-24,1.73012345143009e-23,44.3327928040958,"GABAergic"
"LINC00499",-0.153132651497391,7.15088400631146,-10.3269132275837,2.69068050893041e-24,1.73027213230288e-23,44.3313278693659,"GABAergic"
"AC244517.2",-0.153103681818593,7.15065069474966,-10.32604834782,2.71361187401476e-24,1.74447680777368e-23,44.3229369895913,"GABAergic"
"AP001065.1",-0.157702855494491,7.1537256557328,-10.3259662657854,2.71579823289204e-24,1.74505135543773e-23,44.3222768351232,"GABAergic"
"AL138921.2",-0.156747346050784,7.15193292990822,-10.3259515425192,2.71619059041724e-24,1.74505135543773e-23,44.3220640261802,"GABAergic"
"AC083843.2",-0.157552446816936,7.15528471332492,-10.3257049595811,2.72277009098447e-24,1.74873602773833e-23,44.3198972859061,"GABAergic"
"AC090198.1",-0.164681220705028,7.15957548832724,-10.3256563403466,2.72406924757582e-24,1.74902809439051e-23,44.3194635175849,"GABAergic"
"C4B",-0.153118807196987,7.15076750866284,-10.3255355325157,2.72730002010816e-24,1.75055981767897e-23,44.318022158027,"GABAergic"
"MT1F",-0.15462567522498,7.15416732503792,-10.3252232372453,2.73566936950257e-24,1.75532700872801e-23,44.3152287751908,"GABAergic"
"ADAP2",-0.162635355998284,7.16996579049584,-10.3251951994995,2.73642201090269e-24,1.75532700872801e-23,44.3157326817126,"GABAergic"
"AL138895.1",-0.157035802878164,7.15191229900486,-10.3251375927787,2.73796904210663e-24,1.75577562752801e-23,44.3142107042452,"GABAergic"
"AC018647.1",-0.153379238791868,7.15160628402485,-10.3250981333292,2.73902922787008e-24,1.75591186619848e-23,44.3138421166143,"GABAergic"
"AC073283.3",-0.158584173890446,7.15383457758163,-10.3250147419479,2.74127110400812e-24,1.75680533345669e-23,44.3131038598875,"GABAergic"
"AC013565.3",-0.155996106585979,7.15186667169383,-10.324915815191,2.74393298922107e-24,1.75796733701627e-23,44.3120879862952,"GABAergic"
"AC068446.2",-0.194492700610717,7.2001968201149,-10.3247197825125,2.74921533824767e-24,1.76037652569364e-23,44.3114724173975,"GABAergic"
"ITK",-0.160992620196665,7.15574260944687,-10.3247131897391,2.74939316401241e-24,1.76037652569364e-23,44.3102568061633,"GABAergic"
"NEUROD1",-0.157827481769419,7.15338390161467,-10.3240584277537,2.76711087485362e-24,1.77072203901666e-23,44.3038563334951,"GABAergic"
"AL031731.1",-0.153098616309084,7.15073722823021,-10.3239270215953,2.77068031113455e-24,1.77072203901666e-23,44.302513670459,"GABAergic"
"DPP10-AS2",-0.153098616309084,7.15073722823021,-10.3239270215953,2.77068031113455e-24,1.77072203901666e-23,44.302513670459,"GABAergic"
"MDC1-AS1",-0.153098616309084,7.15073722823021,-10.3239270215953,2.77068031113455e-24,1.77072203901666e-23,44.302513670459,"GABAergic"
