"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_black","kME_brown","kME_green","kME_red"
"Smap1","grey","grey",0.128210018417255,0.0945431361364614,0.14571913970053,0.103921693963691,0.059548629527096,0.0735120051266209,0.131005382735543,0.0745174417072902
"Fam135a","grey","grey",0.0428393878581748,0.0672768224216069,0.0551206407281984,0.0188275311011276,0.0472191677947294,-0.0126163710929846,0.0522408892340933,-0.010514068037093
"Lmbrd1","grey","grey",0.14058237592743,0.114619885579814,0.142384681145701,0.10997282979871,0.0488967998366217,0.0344725593384654,0.149530961641635,0.0395693074615716
"Adgrb3","grey","grey",-0.0123823381686968,0.0708006893997852,0.124536661436871,0.0980406484820017,0.143501929891149,0.0474146835984465,0.069116837253134,0.14890034791635
"Phf3","grey","grey",0.109121481422672,0.088897643049592,0.156037892978994,0.092564332045862,0.0669476221812745,0.0327686551333262,0.106673824369588,0.0785379459976259
"Khdrbs2","yellow","yellow",0.0881564560582627,0.0592365689569587,0.20426852634609,0.260224980997921,0.0913175443006612,0.00636278235375554,0.192454119378816,0.200554424615728
"Zfp451","grey","grey",0.0904705067856293,0.0859381326862775,0.149549129039991,0.106931644050925,0.078192147226756,0.0399018811355072,0.110334540277905,0.0957448532583743
"Bend6","blue","blue",0.135994115715953,0.187580460851522,0.120862553460443,0.043463663718766,0.0834499697393165,0.0349557910250091,0.125386760555086,-0.0174392828785701
"Dst","grey","grey",0.0819873289291499,0.13059051188224,0.133808249324466,0.0970655240930363,0.11313871412031,-0.0361435354308501,0.148320605546792,0.0115854856207149
"Cox5b","blue","blue",0.288340915211969,0.259105734373075,0.173052982581973,0.0624345231342767,0.0236723046500461,0.245215824182391,0.158434698305123,0.0406296751277183
"Actr1b","green","green",0.0867158348182136,0.079810647138317,0.122434204876796,0.134600315023554,0.0681255959485607,0.0116218431436424,0.161935334942618,0.0766124838169754
"Tmem131","grey","grey",0.0210728637139098,0.0207483561000215,0.0652746127356782,0.0552110179485424,0.0477599585039354,0.0185739125122079,0.043438750549773,0.0671019310914901
"Inpp4a","grey","grey",0.0628337518144884,0.0509964981536722,0.125671160299718,0.109467016563662,0.0715370983432053,0.0422099101063732,0.0984930642710488,0.103573962815735
"2010300C02Rik","red","red",0.0620606200238559,-0.0588217424002585,0.170778639397689,0.162404054494829,0.0109668638392988,0.179319196264143,0.0314541795123736,0.353824137075547
"Tsga10","brown","brown",-0.0148416579786201,0.010591041256107,0.048895072204011,-0.0128885680068597,0.0727456771768641,0.0677817339912602,-0.0301383716002429,0.0758959154676008
"Mrpl30","grey","grey",0.150529608824237,0.109257782530219,0.135890140636767,0.0684133779703192,0.0212435443390834,0.112097415740788,0.10121358928953,0.0619104749251515
"Txndc9","grey","grey",0.11494110246321,0.0790991815122904,0.125574904748149,0.0757125524858698,0.0320698730784396,0.0486904169352523,0.0919120082309752,0.0611977258664434
"Eif5b","grey","grey",0.103348380234896,0.0816307336559477,0.112813863205395,0.0749833193822473,0.0376447772094678,0.0693993115782862,0.0890829271936343,0.0617113810279731
"Rev1","grey","grey",0.0323410039560605,0.0488950857790654,0.0770262286846038,0.0394724189639692,0.0600880385101681,0.0156250217849058,0.0440140662220484,0.0484015223287283
"Rpl31","grey","grey",0.107968464437003,0.0636104288535348,0.0901889818520936,0.0657166425724489,0.00654691375621436,0.168432287552562,0.0605780478462309,0.0878188256096743
"Creg2","red","red",0.120586317723421,0.0551218785228974,0.178354650311176,0.184345136086179,0.0395686020403518,0.105659132620287,0.143871648146559,0.219334123897701
"Pantr1","grey","grey",0.0538288795392948,0.0079005433903278,0.0546334804491787,0.100983400675721,-0.0351545468432399,0.0361916100142295,0.0555093756889955,0.0833739132096402
